age,earnings,industry,home_geoid,work_geoid
mid,low,other,060014403041,060816119006
high,high,other,060014403042,060816118002
mid,mid,trade_trans_util,060014403042,060816119005
mid,low,other,060014403043,060816119005
low,high,other,060014403043,060816121004
mid,high,other,060014403052,060816118002
low,high,other,060014403052,060816120004
low,high,other,060014403053,060816119006
mid,mid,other,060014403061,060816120004
high,mid,trade_trans_util,060014403062,060816121005
high,mid,trade_trans_util,060014403062,060816121005
low,mid,trade_trans_util,060014414013,060816119005
mid,high,other,060014415011,060816120003
mid,high,trade_trans_util,060014415011,060816121005
low,high,trade_trans_util,060014415012,060816119005
mid,high,other,060014415012,060816120004
mid,high,other,060014415012,060816120004
mid,low,trade_trans_util,060014415031,060816121003
mid,high,other,060014415031,060816121004
mid,high,other,060014415032,060816118002
mid,high,other,060014415032,060816120003
mid,high,trade_trans_util,060014415212,060816120001
mid,high,trade_trans_util,060014415213,060816120001
mid,high,trade_trans_util,060014415213,060816120004
high,mid,trade_trans_util,060014415221,060816119005
mid,high,other,060014415231,060816121004
mid,high,other,060014415233,060816121004
high,high,trade_trans_util,060014415233,060816121005
mid,mid,other,060014415241,060816120004
high,high,other,060014415241,060855111001
low,high,other,060014416012,060816118002
mid,high,other,060014416012,060816119001
mid,mid,trade_trans_util,060014416012,060816119005
mid,high,other,060014416012,060816120004
high,high,other,060014416012,060816120004
mid,high,other,060014416013,060816120004
mid,high,other,060014416013,060816120004
high,high,trade_trans_util,060014416021,060816119005
high,high,trade_trans_util,060014416021,060816119005
mid,high,other,060014416021,060816120004
mid,low,other,060014416023,060816119005
mid,high,other,060014416023,060816120004
high,low,other,060014417002,060816118002
high,low,other,060014417002,060816118002
mid,high,trade_trans_util,060014417002,060816119005
mid,high,other,060014417003,060816120004
mid,high,other,060014417004,060816119005
mid,high,other,060014417004,060816120004
high,mid,trade_trans_util,060014425004,060816119005
low,high,other,060014427001,060816119002
high,high,other,060014427001,060816120004
low,high,other,060014427003,060816120004
low,high,other,060014427003,060816120004
mid,high,other,060014428001,060816120004
mid,mid,other,060014441001,060816119005
low,low,other,060014441002,060816120001
mid,high,other,060014441002,060816120004
mid,high,other,060014441002,060816120004
low,high,trade_trans_util,060014441002,060816121003
mid,high,other,060014441003,060816118002
mid,mid,other,060014441003,060816119002
mid,mid,other,060014441003,060816119005
mid,high,other,060014442003,060816120004
low,high,trade_trans_util,060014442003,060816121005
low,high,other,060014443011,060816118002
mid,high,other,060014443012,060816118002
mid,high,other,060014443012,060816121003
high,high,other,060014443021,060816119006
mid,low,trade_trans_util,060014443021,060816120001
mid,low,trade_trans_util,060014443021,060816120001
mid,high,other,060014443021,060816120004
mid,mid,other,060014443022,060816119005
mid,low,trade_trans_util,060014443022,060816120001
mid,mid,trade_trans_util,060014443022,060816121005
low,low,trade_trans_util,060014444001,060816121005
mid,low,other,060014444002,060816121003
low,mid,other,060014444002,060816121004
mid,high,other,060014445002,060816118002
mid,high,other,060014445003,060816118002
mid,low,trade_trans_util,060014445003,060816119005
mid,low,trade_trans_util,060014445003,060816119005
mid,mid,trade_trans_util,060014445003,060816119005
low,low,other,060014445004,060816119001
low,low,other,060014445004,060816119002
mid,low,other,060014445004,060816119005
mid,high,other,060014445004,060816120004
mid,high,other,060014445004,060816120004
low,mid,other,060014446011,060816118002
mid,mid,other,060014446011,060816119006
high,high,other,060014446011,060816120004
low,high,other,060014446012,060816119005
mid,low,trade_trans_util,060014446021,060816119005
mid,high,other,060816080011,060816121004
high,low,other,060816080023,060816120004
mid,high,other,060816080131,060816118002
mid,high,other,060816080131,060816121004
mid,high,other,060816080131,060816121004
high,high,other,060816080132,060816121004
mid,high,other,060816080133,060816121004
mid,high,other,060816080231,060816120004
mid,mid,trade_trans_util,060816083002,060816119005
mid,low,other,060816086001,060816121005
high,high,other,060816086002,060816118002
mid,high,other,060816086002,060816120004
mid,high,other,060816086003,060816118002
mid,high,other,060816086003,060816120004
low,high,other,060816086003,060816120004
mid,high,other,060816087004,060816120001
mid,high,other,060816089002,060816120004
low,high,other,060816090001,060816120004
low,high,other,060816090002,060816120004
mid,low,other,060816091001,060816118002
mid,low,other,060816091001,060816118002
mid,low,other,060816091001,060816120004
mid,low,other,060816091001,060816120004
low,low,other,060816091002,060816119005
low,low,other,060816091002,060816119005
mid,low,other,060816091002,060816120002
mid,low,other,060816091002,060816120004
mid,mid,other,060816092012,060816119003
mid,mid,other,060816092012,060816120003
mid,mid,other,060816092012,060816120004
mid,high,other,060816092012,060855111001
high,mid,other,060816092013,060816120001
mid,high,other,060816092013,060816120004
mid,high,trade_trans_util,060816092013,060816121003
mid,high,other,060816092021,060816118002
high,mid,other,060816092021,060816119005
high,mid,other,060816092021,060816121002
mid,high,other,060816092021,060855111001
mid,mid,trade_trans_util,060816093001,060816119002
mid,high,other,060816093001,060816119005
mid,high,other,060816093002,060816120004
high,high,other,060816093002,060855111001
mid,high,other,060816094001,060816120004
mid,high,other,060816094001,060816120004
mid,high,trade_trans_util,060816094001,060816121005
mid,high,other,060816094001,060855111001
high,high,other,060816095001,060816118002
mid,mid,other,060816095001,060816120004
mid,high,other,060816095001,060816120004
mid,high,other,060816095002,060816119006
mid,high,other,060816095002,060816120004
mid,high,other,060816095002,060816120004
mid,high,other,060816095002,060816120004
high,high,other,060816096011,060816118002
high,high,other,060816096011,060816118002
mid,low,trade_trans_util,060816096011,060816119005
low,high,other,060816096011,060816120004
mid,high,other,060816096011,060816121004
high,mid,other,060816096021,060816119003
low,mid,other,060816096031,060816121004
mid,high,other,060816097001,060816118002
mid,high,other,060816097001,060816118002
mid,mid,goods_prod,060816097001,060816120002
mid,high,other,060816097001,060816121002
mid,high,other,060816097001,060816121004
low,high,other,060816097002,060816118002
low,low,other,060816097002,060816118002
mid,high,other,060816097002,060816119005
mid,high,other,060816097002,060816119005
mid,high,trade_trans_util,060816097002,060816120001
mid,high,other,060816097002,060855111001
high,high,other,060816098004,060816121004
mid,high,other,060816099001,060816119001
mid,high,other,060816099001,060816120004
mid,high,other,060816099002,060816118002
high,high,other,060816100001,060816118002
high,mid,goods_prod,060816100001,060816121005
high,mid,goods_prod,060816100001,060816121005
mid,mid,other,060816100001,060855111001
low,high,other,060816100003,060816119006
mid,high,trade_trans_util,060816100003,060816121005
high,mid,other,060816102011,060816120004
high,low,other,060816102012,060816120001
low,mid,other,060816102012,060816120004
mid,mid,trade_trans_util,060816102012,060816121005
high,low,other,060816102013,060816120003
low,low,other,060816102014,060816120003
high,low,other,060816102014,060816120003
high,low,other,060816102014,060816120004
mid,mid,trade_trans_util,060816102014,060816121005
mid,mid,trade_trans_util,060816102014,060816121005
