age,earnings,industry,home_geoid,work_geoid
mid,high,other,060014403041,060816118001
mid,high,other,060014403042,060816118001
high,high,other,060014403042,060816118002
mid,high,other,060014403043,060816118001
mid,high,other,060014403043,060816118001
mid,high,other,060014403043,060816118001
mid,high,other,060014403043,060816118001
high,high,other,060014403051,060816118001
mid,high,other,060014403052,060816118002
mid,high,other,060014403053,060816118001
mid,high,other,060014403061,060816118001
low,high,other,060014403071,060816118001
mid,mid,other,060014403071,060816118002
mid,high,other,060014403072,060816118001
mid,high,other,060014403073,060816118001
mid,high,other,060014403311,060816118001
mid,high,other,060014403311,060816118001
mid,high,other,060014403311,060816118001
mid,high,other,060014403312,060816118001
mid,high,other,060014403312,060816118001
high,high,other,060014403321,060816118001
high,high,other,060014403321,060816118001
mid,high,other,060014403321,060816118001
high,high,other,060014403321,060816118001
mid,high,other,060014403321,060816118001
mid,high,other,060014403322,060816118001
mid,high,other,060014403322,060816118001
mid,high,other,060014403322,060816118001
mid,high,other,060014403332,060816118001
mid,high,other,060014403332,060816118001
mid,high,other,060014403332,060816118001
mid,high,other,060014403341,060816118001
mid,high,other,060014413022,060816118001
mid,high,trade_trans_util,060014413023,060816118001
high,high,other,060014413023,060816118001
high,high,other,060014413023,060816118001
mid,high,other,060014413024,060816118001
mid,high,other,060014414011,060816118001
mid,high,trade_trans_util,060014414013,060816118001
mid,mid,other,060014414013,060816118001
mid,high,trade_trans_util,060014414013,060816118001
mid,mid,other,060014414013,060816118001
mid,high,goods_prod,060014414014,060816118001
mid,high,other,060014414014,060816118001
mid,high,other,060014414014,060816118001
mid,high,other,060014414014,060816118001
mid,high,other,060014414014,060816118001
mid,high,other,060014414014,060816118001
mid,high,other,060014414014,060816118001
high,high,goods_prod,060014414014,060816118001
high,high,other,060014414014,060816118001
mid,high,goods_prod,060014414021,060816118001
mid,high,other,060014414021,060816118001
mid,high,other,060014414021,060816118001
mid,high,other,060014414021,060816118001
mid,high,other,060014414023,060816118001
mid,high,other,060014414023,060816118001
mid,high,other,060014414023,060816118001
high,high,other,060014415011,060816118001
mid,high,other,060014415011,060816118001
mid,high,other,060014415011,060816118001
mid,high,other,060014415011,060816118001
mid,high,other,060014415011,060816118001
mid,mid,other,060014415012,060816118001
high,high,other,060014415012,060816118001
mid,high,goods_prod,060014415012,060816118001
mid,high,goods_prod,060014415012,060816118001
high,high,goods_prod,060014415031,060816118001
mid,high,other,060014415031,060816118001
mid,high,goods_prod,060014415031,060816118001
mid,high,other,060014415031,060816118001
mid,high,other,060014415031,060816118001
mid,high,other,060014415031,060816118001
mid,high,other,060014415031,060816118001
mid,high,other,060014415032,060816118001
mid,high,other,060014415032,060816118001
mid,high,goods_prod,060014415032,060816118001
high,high,other,060014415032,060816118001
mid,high,other,060014415032,060816118002
high,high,other,060014415211,060816118001
high,high,other,060014415211,060816118001
mid,high,other,060014415212,060816118001
mid,high,other,060014415213,060816118001
high,high,other,060014415213,060816118001
mid,high,other,060014415222,060816118001
mid,high,other,060014415222,060816118001
mid,mid,other,060014415223,060816118001
low,high,other,060014415233,060816118001
low,high,other,060014415233,060816118001
mid,high,goods_prod,060014415241,060816118001
mid,high,other,060014415241,060816118001
low,high,goods_prod,060014415241,060816118001
mid,high,goods_prod,060014415241,060816118001
mid,high,other,060014415241,060816118001
mid,high,goods_prod,060014415242,060816118001
mid,mid,other,060014415242,060816118001
low,high,goods_prod,060014415242,060816118001
mid,high,other,060014416011,060816118001
low,high,goods_prod,060014416012,060816118001
low,high,other,060014416012,060816118001
low,high,other,060014416012,060816118002
mid,high,other,060014416012,060816119001
mid,high,other,060014416013,060816118001
mid,high,goods_prod,060014416013,060816118001
low,high,goods_prod,060014416013,060816118001
high,high,other,060014416021,060816118001
low,high,other,060014416021,060816118001
mid,high,other,060014416021,060816118001
low,high,other,060014416021,060816118001
low,mid,other,060014416021,060816118001
high,high,other,060014416022,060816118001
high,high,other,060014416022,060816118001
low,high,goods_prod,060014416023,060816118001
mid,mid,other,060014416023,060816118001
mid,mid,other,060014416023,060816118001
mid,high,other,060014416023,060816118001
mid,mid,other,060014416023,060816118001
low,mid,goods_prod,060014416023,060816118001
mid,high,goods_prod,060014416024,060816118001
mid,mid,goods_prod,060014416024,060816118001
low,high,other,060014417001,060816118001
low,high,goods_prod,060014417001,060816118001
low,high,other,060014417001,060816118001
mid,high,goods_prod,060014417002,060816118001
high,high,other,060014417002,060816118001
mid,high,other,060014417002,060816118001
high,high,other,060014417002,060816118001
high,mid,other,060014417002,060816118002
low,low,other,060014417002,060816118002
high,high,other,060014417003,060816118001
low,low,other,060014417003,060816118001
mid,high,other,060014417004,060816118001
